File: trkwebctrl
Build ID: 1485ab068a0a7a8ca708d3b6fb2684166b991d47
Type: cpu
Time: Jul 13, 2023 at 4:36pm (MSK)
Duration: 100s, Total samples = 158.47s (158.47%)
Showing nodes accounting for 122.99s, 77.61% of 158.47s total
Dropped 867 nodes (cum <= 0.79s)
      flat  flat%   sum%        cum   cum%
     0.02s 0.013% 77.37%    140.46s 88.64%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
     0.02s 0.013% 77.38%      9.44s  5.96%  github.com/gin-gonic/gin.(*responseWriter).Write
     0.02s 0.013% 77.40%     26.40s 16.66%  github.com/json-iterator/go.(*frozenConfig).Marshal
     0.02s 0.013% 77.41%     16.36s 10.32%  log.(*Logger).Println
     0.02s 0.013% 77.42%     45.19s 28.52%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupContent
     0.02s 0.013% 77.43%      1.06s  0.67%  net/http.(*connReader).Read
     0.02s 0.013% 77.45%    140.48s 88.65%  net/http.serverHandler.ServeHTTP
     0.02s 0.013% 77.46%         9s  5.68%  runtime.blockevent
     0.02s 0.013% 77.47%      0.87s  0.55%  runtime.mPark (inline)
     0.02s 0.013% 77.48%      1.70s  1.07%  sort.Slice
     0.02s 0.013% 77.50%      1.85s  1.17%  sync.event
     0.02s 0.013% 77.51%      1.18s  0.74%  syscall.Read (inline)
     0.01s 0.0063% 77.52%      1.10s  0.69%  bufio.(*Reader).Peek
     0.01s 0.0063% 77.52%    133.68s 84.36%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
     0.01s 0.0063% 77.53%     87.99s 55.52%  github.com/gin-gonic/gin/render.WriteJSON
     0.01s 0.0063% 77.54%     24.95s 15.74%  github.com/json-iterator/go.(*OptionalEncoder).Encode
     0.01s 0.0063% 77.54%     10.13s  6.39%  github.com/json-iterator/go.(*sliceEncoder).Encode
     0.01s 0.0063% 77.55%      7.21s  4.55%  log.(*Logger).Printf
     0.01s 0.0063% 77.55%      4.03s  2.54%  marketingPlatform/ak/journal.jrnLogger.WriteJRNFormat
     0.01s 0.0063% 77.56%     10.45s  6.59%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByClientFPrint
     0.01s 0.0063% 77.57%      4.85s  3.06%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByServerFPrint
     0.01s 0.0063% 77.57%      3.05s  1.92%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCache
     0.01s 0.0063% 77.58%      7.36s  4.64%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).overwriteAcid
     0.01s 0.0063% 77.59%      2.41s  1.52%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).setAcidToCache
     0.01s 0.0063% 77.59%      8.84s  5.58%  net/http.(*response).Write
     0.01s 0.0063% 77.60%      3.88s  2.45%  runtime.Caller
     0.01s 0.0063% 77.60%      0.85s  0.54%  runtime.notesleep
     0.01s 0.0063% 77.61%      1.03s  0.65%  runtime.notewakeup
         0     0% 77.61%      2.72s  1.72%  encoding/json.(*Decoder).Decode
         0     0% 77.61%      1.43s   0.9%  encoding/json.(*decodeState).unmarshal
         0     0% 77.61%     88.10s 55.59%  github.com/gin-gonic/gin.(*Context).JSON (inline)
         0     0% 77.61%     87.99s 55.52%  github.com/gin-gonic/gin/render.JSON.Render
         0     0% 77.61%      0.86s  0.54%  github.com/mr-tron/base58/base58.Encode (inline)
         0     0% 77.61%      0.86s  0.54%  github.com/mr-tron/base58/base58.FastBase58Encoding (inline)
         0     0% 77.61%      2.85s  1.80%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.parseJsonPopupContentRequest
         0     0% 77.61%      1.60s  1.01%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.encodeAcidCookieValue
         0     0% 77.61%      8.83s  5.57%  net/http.(*response).write
         0     0% 77.61%      1.66s  1.05%  net/http.readRequest
         0     0% 77.61%      0.94s  0.59%  runtime.(*mcentral).grow
         0     0% 77.61%      2.22s  1.40%  strings.Split (inline)
         0     0% 77.61%      0.84s  0.53%  sync.runtime_notifyListWait
         0     0% 77.61%     16.78s 10.59%  syscall.Write (inline)
