File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: cpu
Time: Jul 11, 2023 at 12:45pm (MSK)
Duration: 250.20s, Total samples = 1114.10s (445.28%)
Showing nodes accounting for 974.50s, 87.47% of 1114.10s total
Dropped 1490 nodes (cum <= 5.57s)
      flat  flat%   sum%        cum   cum%
     0.07s 0.0063% 87.23%    298.01s 26.75%  github.com/syndtr/goleveldb/leveldb.(*dbIter).Seek
     0.07s 0.0063% 87.23%    485.55s 43.58%  github.com/syndtr/goleveldb/leveldb.(*version).get.func1
     0.07s 0.0063% 87.24%    298.13s 26.76%  lab.altkraft.com/altkraft/ledisdb/store.rangeLimitIterator
     0.07s 0.0063% 87.24%    304.76s 27.35%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCacheByServerFP
     0.07s 0.0063% 87.25%      7.39s  0.66%  runtime.(*mcache).allocLarge
     0.07s 0.0063% 87.26%     16.32s  1.46%  runtime.callers
     0.07s 0.0063% 87.26%     10.09s  0.91%  runtime.mcall
     0.07s 0.0063% 87.27%      8.69s  0.78%  runtime.saveblockevent
     0.07s 0.0063% 87.28%    412.81s 37.05%  syscall.Pread (inline)
     0.06s 0.0054% 87.28%     47.34s  4.25%  encoding/json.(*encodeState).reflectValue
     0.06s 0.0054% 87.29%    492.63s 44.22%  github.com/syndtr/goleveldb/leveldb.(*DB).Get
     0.06s 0.0054% 87.29%     48.33s  4.34%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readFilterBlock
     0.06s 0.0054% 87.30%    210.44s 18.89%  github.com/syndtr/goleveldb/leveldb/util.CRC.Update (inline)
     0.06s 0.0054% 87.30%    492.85s 44.24%  lab.altkraft.com/altkraft/ledisdb/store.(*DB).Get
     0.06s 0.0054% 87.31%    492.70s 44.22%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*DB).Get
     0.06s 0.0054% 87.31%    909.31s 81.62%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func2
     0.06s 0.0054% 87.32%    309.98s 27.82%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByServerFPrint
     0.06s 0.0054% 87.32%      8.74s  0.78%  net.(*netFD).Write
     0.06s 0.0054% 87.33%    916.29s 82.24%  net/http.serverHandler.ServeHTTP
     0.06s 0.0054% 87.34%     10.04s   0.9%  runtime.markroot
     0.05s 0.0045% 87.34%      9.02s  0.81%  bufio.(*Writer).Write
     0.05s 0.0045% 87.34%       916s 82.22%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
     0.05s 0.0045% 87.35%     16.79s  1.51%  github.com/json-iterator/go.(*Stream).WriteVal
     0.05s 0.0045% 87.35%      6.85s  0.61%  github.com/json-iterator/go.(*sliceEncoder).Encode
     0.05s 0.0045% 87.36%      5.83s  0.52%  lab.altkraft.com/altkraft/ledisdb/ledis.(*Ledis).handleCommit
     0.05s 0.0045% 87.36%    850.91s 76.38%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupContent
     0.05s 0.0045% 87.37%    211.03s 18.94%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).setAcidToCache
     0.05s 0.0045% 87.37%     16.19s  1.45%  runtime.callers.func1
     0.05s 0.0045% 87.38%      7.54s  0.68%  runtime.profilealloc
     0.04s 0.0036% 87.38%    916.23s 82.24%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
     0.04s 0.0036% 87.38%     16.72s  1.50%  github.com/json-iterator/go.(*onePtrEncoder).Encode
     0.04s 0.0036% 87.39%    486.52s 43.67%  github.com/syndtr/goleveldb/leveldb.(*version).get
     0.04s 0.0036% 87.39%     50.10s  4.50%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).getFilterBlock
