File: trkwebctrl
Build ID: 2a6e97ebd0584c23046de2e113885e697b606e55
Type: cpu
Time: Aug 14, 2023 at 6:06pm (MSK)
Duration: 600.11s, Total samples = 2396.06s (399.27%)
Showing nodes accounting for 1708.32s, 71.30% of 2396.06s total
Dropped 1733 nodes (cum <= 11.98s)
      flat  flat%   sum%        cum   cum%
     1.28s 0.053% 68.30%    128.78s  5.37%  marketingPlatform/ak/daemonlogger.(*LogFile).Write
     1.23s 0.051% 68.35%     15.34s  0.64%  net/http.Header.Clone (inline)
     1.23s 0.051% 68.40%     73.82s  3.08%  net/http.readRequest
     1.17s 0.049% 68.45%     20.19s  0.84%  net/textproto.(*Reader).readLineSlice
     1.15s 0.048% 68.50%        15s  0.63%  github.com/gin-gonic/gin.(*Context).Header
     1.14s 0.048% 68.54%     72.22s  3.01%  net.(*conn).Read
     1.12s 0.047% 68.59%     53.47s  2.23%  bufio.(*Reader).fill
     1.06s 0.044% 68.64%     39.76s  1.66%  fmt.Sprintf
     1.03s 0.043% 68.68%    194.60s  8.12%  sync.(*Mutex).Lock (inline)
     1.01s 0.042% 68.72%     44.80s  1.87%  github.com/json-iterator/go.(*placeholderEncoder).Encode
        1s 0.042% 68.76%        19s  0.79%  bufio.(*Reader).ReadLine
        1s 0.042% 68.80%     15.12s  0.63%  github.com/gin-gonic/gin.(*Context).ClientIP
     0.97s  0.04% 68.84%     37.62s  1.57%  bytes.(*Buffer).Write
     0.97s  0.04% 68.88%     16.67s   0.7%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.FingerPrintBuilder.Parse
     0.96s  0.04% 68.92%   1549.54s 64.67%  net/http.serverHandler.ServeHTTP
     0.94s 0.039% 68.96%    205.88s  8.59%  runtime.saveblockevent
     0.92s 0.038% 69.00%     18.06s  0.75%  crypto/rand.(*reader).Read
     0.92s 0.038% 69.04%     49.18s  2.05%  net/http.(*connReader).Read
     0.91s 0.038% 69.08%     56.29s  2.35%  syscall.read
     0.90s 0.038% 69.12%     16.41s  0.68%  sync.(*Mutex).unlockSlow
     0.89s 0.037% 69.15%     56.88s  2.37%  github.com/json-iterator/go.(*sliceEncoder).Encode
     0.87s 0.036% 69.19%     21.24s  0.89%  io.ReadAtLeast
     0.87s 0.036% 69.23%    101.47s  4.23%  os.(*File).write (inline)
     0.86s 0.036% 69.26%     20.79s  0.87%  fmt.Append
     0.84s 0.035% 69.30%     14.47s   0.6%  github.com/matoous/go-nanoid.Nanoid
     0.83s 0.035% 69.33%     28.52s  1.19%  net/http.(*connReader).backgroundRead
     0.78s 0.033% 69.36%     27.43s  1.14%  log.(*Logger).Writer
     0.78s 0.033% 69.40%    385.42s 16.09%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).RestoreAcidProccesing
     0.77s 0.032% 69.43%    231.65s  9.67%  runtime.callers.func1
     0.76s 0.032% 69.46%    516.28s 21.55%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func2
     0.76s 0.032% 69.49%     19.26s   0.8%  runtime.runqsteal
     0.75s 0.031% 69.52%    171.06s  7.14%  github.com/json-iterator/go.(*OptionalEncoder).Encode
     0.75s 0.031% 69.56%     41.43s  1.73%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).fillAndSendPopupEvent
     0.75s 0.031% 69.59%    188.08s  7.85%  net.(*conn).Write
     0.74s 0.031% 69.62%     19.61s  0.82%  crypto/rand.Read
     0.74s 0.031% 69.65%    254.56s 10.62%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).deduplicationMiddleware.func2
     0.73s  0.03% 69.68%     15.70s  0.66%  mime.ParseMediaType
     0.71s  0.03% 69.71%    135.55s  5.66%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).overwriteAcid
